firstname:varchar,lastname:varchar,place:varchar
guillaume,dufay,beersel
michael,haydn,rohrau
johann,strauss,vienna
quincy,jones,chicago
william,byrd,lincoln
edward,elgar,broadheath
john,williams,new york
johann,sebastian bach,eisenach
george,gershwin,brooklyn
john,adams,worcester
johannes,brahms,hamburg
john,philip sousa,washington
john,bach,wechmar
john,beck,fladbury
john,blow,newark
john,field,dublin
john,ireland,bowdon
